Time,X
"6-30",0.026002
"6-30",0.03654
"6-30",0.017213
"6-30",0.019244
"6-30",0.014708
"6-30",0.015303
"6-30",0.014432
"6-30",0.016607
"6-30",0.008262
"6-30",0.005403
"6-30",-0.001314
"6-30",0.00196
"6-30",-0.005249
"6-30",0.018283
"6-30",0.007757
"6-30",-0.003224
"6-30",-0.027405
"6-30",-0.03191
"6-30",-0.021944
"6-30",-0.036872
"6-30",-0.025452
"6-30",-0.047638
"6-30",-0.086092
"6-30",-0.090081
"6-30",-0.030516
"6-30",-0.017336
"6-30",0.00965
"6-30",-0.007538
"6-30",0.001432
"6-30",0.006045
"6-30",0.006484
"6-30",-0.007321
"6-30",0.027516
"6-30",0.030634
"6-30",0.03851
"6-30",0.009139
"6-30",-0.006805
"6-30",-0.011485
"6-30",0.010467
"6-30",0.008058
"6-30",0.025972
"6-30",0.024897
"6-30",0.014612
"6-30",-0.007586
"6-30",0.016048
"6-30",0.024542
"6-30",0.028069
"6-30",0.028363
"6-30",-0.034007
"6-30",-0.06551
"6-30",-0.068586
"6-30",-0.03462
"6-30",-0.00916
"6-30",0.007445
"6-30",-0.004065
"6-30",-0.016273
"6-30",-0.029567
"6-30",-2.83E-05
"6-30",-0.00013
"6-30",0.027757
"6-30",0.035338
"6-30",0.014498
"6-30",0.006244
"6-30",0.011116
"6-30",0.01424
"6-30",0.007511
"6-30",0.029054
"6-30",0.044217
"6-30",0.05309
"6-30",0.003348
"6-30",-0.011575
"6-30",-0.028486
"6-30",0.001203
"6-30",0.005673
"6-30",-0.002089
"6-30",-0.059731
"6-30",-0.03632
"6-30",-0.024197
"6-30",0.002747
"6-30",-0.008967
"6-30",-0.011599
"6-30",-0.011755
"6-30",-0.045223
"6-30",-0.029735
"6-30",-0.059431
"6-30",-0.012584
"6-30",-0.00326
"6-30",-0.007159
"6-30",0.003186
"6-30",0.001155
"6-30",-0.009802
"6-30",0.0016
"6-30",0.000597
"6-30",0.031505
"6-30",0.014011
"6-30",-0.023644
"6-30",-0.030426
"6-30",-0.005399
"6-30",-0.016993
"6-30",-0.024515
"6-30",-0.000707
"6-30",0.044385
"6-30",0.023269
"6-30",0.011038
"6-30",0.025462
"6-30",0.028093
"6-30",0.03034
"6-30",0.01469
"6-30",0.015303
"6-30",0.007229
"6-30",0.000458
"6-30",-0.000166
"6-30",0.020271
"6-30",0.012449
"6-30",0.017057
"6-30",0.029006
"6-30",-0.001308
"6-30",-0.019655
"6-30",0.002543
"6-30",0.000452
"6-30",0.013519
"6-30",0.020608
"6-30",0.026489
"6-30",0.043394
"6-30",0.033319
"6-30",0.038486
"6-30",0.038955
"6-30",0.051114
"6-30",0.022037
"6-30",0.004652
"6-30",0.023029
"6-30",0.044331
"6-30",0.032575
"6-30",0.030754
"6-30",0.041303
"6-30",0.045731
"6-30",0.021755
"6-30",0.003414
"6-30",-0.010115
"6-30",0.010978
"6-30",0.004153
"6-30",0.017904
"6-30",0.017484
"6-30",0.019112
"6-30",0.001293
"6-30",0.005
"6-30",0.016204
"6-30",1.78E-06
"6-30",0.016048
"6-30",0.022458
"6-30",-0.002906
"6-30",-0.015389
"6-30",0.00369
"6-30",0.008623
"6-30",-0.005057
"6-30",-0.031898
"6-30",-0.008397
"6-30",0.002381
"6-30",0.022446
"6-30",0.017358
"6-30",0.034046
"6-30",0.039687
"6-30",0.035518
"6-30",0.02587
"6-30",0.024284
"6-30",0.032076
"6-30",0.017496
"6-30",0.037501
"6-30",0.049065
"6-30",0.025269
"6-30",0.004628
"6-30",0.006682
"6-30",-0.004011
"6-30",0.005475
"6-30",0.013867
"6-30",0.02912
"6-30",0.026044
"6-30",0.024861
"6-30",0.019316
"6-30",0.03335
"6-30",0.029775
"6-30",-0.01727
"6-30",-0.021938
"6-30",-0.014975
"6-30",-0.039089
"6-30",-0.022911
"6-30",-0.015245
"6-30",-0.004978
"6-30",0.00017
"6-30",-0.005291
"6-30",0.008244
"6-30",0.01418
"6-30",0.018835
"6-30",0.016
"6-30",0.033674
"6-30",0.052874
"6-30",0.039441
"6-30",0.020445
"6-30",0.013254
"6-30",0.021443
"6-30",0.036143
"6-30",0.048272
"6-30",0.03851
"6-30",0.008641
"6-30",-0.005249
"6-30",-0.00165
"6-30",0.003961
"6-30",-0.005435
"6-30",-0.073524
"6-30",-0.063936
"6-30",-0.032907
"6-30",-0.01939
"6-30",-0.033136
"6-30",0.011957
"6-30",-0.007021
"6-30",-0.021187
"6-30",-0.037695
"6-30",-0.023043
"6-30",-0.008799
"6-30",0.002597
"6-30",0.014606
"6-30",0.0318
"6-30",0.013585
"6-30",0.006568
"6-30",0.005889
"6-30",0.003552
"6-30",0.018847
"6-30",0.007307
"6-30",0.01454
"6-30",0.023701
"6-30",0.007926
"6-30",-0.022226
"6-30",-0.02228
"6-30",-0.015071
"6-30",-0.030985
"6-30",-0.059353
"6-30",-0.059587
"6-30",-0.017312
"6-30",-0.005045
"6-30",-0.019487
"6-30",0.012383
"6-30",0.02071
"6-30",0.027612
"6-30",0.013254
"6-30",0.025468
"6-30",0.009482
"6-30",0.01597
"6-30",0.032629
"6-30",0.031037
"6-30",0.023665
"6-30",-0.012169
"6-30",0.016805
"6-30",-0.00153
"6-30",0.006045
"6-30",0.009271
"6-30",0.009229
"6-30",0.002351
"6-30",-0.015335
"6-30",-0.025014
"6-30",-0.043379
"6-30",-0.01277
"6-30",-0.052348
"6-30",-0.056379
"6-30",-0.029213
"6-30",0.003204
"6-30",-0.01727
"6-30",-0.003386
"6-30",0.024014
"6-30",0.061501
"6-30",0.030105
"6-30",0.045118
"6-30",0.013399
"6-30",-0.004438
"6-30",-0.013804
"6-30",-0.000581
"6-30",0.003823
"6-30",0.022392
"6-30",0.016613
"6-30",0.010046
"6-30",-0.019643
"6-30",-0.010115
"6-30",0.005577
"6-30",0.009812
"6-30",-0.002419
"6-30",-0.043529
"6-30",-0.015942
"6-30",-0.026545
"6-30",-0.039119
"6-30",-0.036157
"6-30",-0.06673
"6-30",-0.038242
"6-30",-0.009718
"6-30",-0.045007
"6-30",-0.022334
"6-30",-0.03012
"6-30",-0.048713
"6-30",-0.029994
"6-30",0.003018
"6-30",-1.02E-05
"6-30",0.006688
"6-30",0.016462
"6-30",0.071605
"6-30",0.062828
"6-30",0.048218
"6-30",0.028531
"6-30",0.020523
"6-30",0.003931
"6-30",-0.004528
"6-30",0.003114
"6-30",0.010539
"6-30",1.78E-06
"6-30",-0.003344
"6-30",0.005216
"6-30",0.00172
"6-30",-0.000737
"6-30",0.009908
"6-30",-0.007105
"6-30",-0.009556
"6-30",0.039297
"6-30",0.034425
"6-30",0.033392
"6-30",0.03189
"6-30",0.027402
"6-30",0.037158
"6-30",0.017129
"6-30",0.027732
"6-30",0.023515
"6-30",0.030718
"6-30",0.009602
"6-30",0.007475
"6-30",0.003492
"6-30",0.013092
"6-30",0.008412
"6-30",0.00682
"6-30",0.018919
"6-30",0.032833
"6-30",0.031079
"6-30",0.033205
"6-30",0.027396
"6-30",0.021527
"6-30",0.001726
"6-30",-0.01918
"6-30",-0.023385
"6-30",-0.001686
"6-30",0.030808
"6-30",0.035608
"6-30",0.04024
"6-30",0.019935
"6-30",0.026249
"6-30",0.040661
"6-30",0.041057
"6-30",0.045509
"6-30",0.050026
"6-30",0.027678
"6-30",0.009187
"6-30",0.000542
"6-30",0.005919
"6-30",-0.012686
"6-30",0.006736
"6-30",-0.00967
"6-30",0.000969
"6-30",0.010863
"6-30",0.00682
"6-30",0.0016
"6-30",0.003744
"6-30",0.020752
"6-30",0.021052
"6-30",0.029835
"6-30",0.031902
"6-30",0.027823
"6-30",0.030694
"6-30",0.046728
"6-30",0.023912
"6-30",0.017171
"6-30",0.001137
"6-30",0.011512
"6-30",0.007788
"6-30",0.020523
"6-30",0.006472
"6-30",0.008743
"6-30",-0.011767
"6-30",-0.013581
"6-30",0.012696
"6-30",0.032496
"6-30",0.022013
"6-30",0.011921
"6-30",0.011224
"6-30",0.008118
"6-30",-0.006006
"6-30",0.007181
"6-30",0.008593
"6-30",0.002837
"6-30",0.008184
"6-30",-0.011713
"6-30",-0.010529
"6-30",-0.030504
"6-30",-0.018429
"6-30",0.017844
"6-30",0.028321
"6-30",0.042667
"6-30",0.032046
"6-30",0.043718
"6-30",0.028315
"6-30",0.023461
"6-30",0.020632
"6-30",0.018018
"6-30",0.003654
"6-30",-0.002948
"6-30",-0.008096
"6-30",9.19E-05
"6-30",-0.001314
"6-30",-0.005555
"6-30",-0.017234
"6-30",0.000542
"6-30",-0.014506
"6-30",-0.008307
"6-30",0.005042
"6-30",0.007541
"6-30",0.02271
"6-30",-0.009268
"6-30",-0.004023
"6-30",-0.041576
"6-30",-0.098666
"6-30",-0.061371
"6-30",-0.001302
"6-30",-0.000599
"6-30",0.002903
"6-30",-0.020087
"6-30",-0.01086
"6-30",0.002717
"6-30",0.012612
"6-30",-0.000545
"6-30",0.031445
"6-30",0.028808
"6-30",0.038918
"6-30",0.031397
"6-30",0.033073
"6-30",0.030772
"6-30",0.028652
"6-30",0.006958
"6-30",0.004273
"6-30",-0.005099
"6-30",-0.004083
"6-30",-0.015125
"6-30",-0.001332
"6-30",-0.006685
"6-30",-0.017438
"6-30",-0.023602
"6-30",-0.080733
"6-30",-0.09079
"6-30",-0.085167
"6-30",-0.028246
"6-30",-0.018243
"6-30",-0.010433
"6-30",-0.030829
"6-30",-0.023055
"6-30",-0.015137
"6-30",0.015669
"6-30",0.020866
"6-30",0.034245
"6-30",0.028381
"6-30",0.010563
"6-30",0.017508
"6-30",0.028712
"6-30",0.031157
"6-30",0.02575
"6-30",0.036083
"6-30",0.037218
"6-30",0.048152
"6-30",0.029
"6-30",0.0098
"6-30",-0.015732
"6-30",-0.000629
"6-30",-0.005892
"6-30",-0.024413
"6-30",-0.07013
"6-30",-0.040801
"6-30",-0.017907
"6-30",0.015411
"6-30",-0.011617
"6-30",-0.007207
"6-30",-0.005333
"6-30",-0.019781
"6-30",-0.001746
"6-30",-0.021998
"6-30",0.010479
"6-30",0.005589
"6-30",-0.018345
"6-30",-0.007736
"6-30",-0.011172
"6-30",-0.010091
"6-30",-0.001476
"6-30",-0.013834
"6-30",-0.00114
"6-30",-0.042357
"6-30",-0.079237
"6-30",-0.050131
"6-30",-0.009911
"6-30",-0.016687
"6-30",-0.002473
"6-30",0.022188
"6-30",0.061068
"6-30",0.046428
"6-30",0.04471
"6-30",0.070524
"6-30",0.068427
"6-30",0.055734
"6-30",0.022686
"6-30",0.004153
"6-30",-0.013125
"6-30",-0.010752
"6-30",-0.000965
"6-30",0.006682
"6-30",-0.018598
"6-30",-0.023776
"6-30",-0.006132
"6-30",-0.024635
"6-30",-0.015846
"6-30",0.031403
"6-30",0.032875
"6-30",0.040048
"6-30",0.02232
"6-30",0.015976
"6-30",0.036485
"6-30",0.033277
"6-30",0.042625
"6-30",0.027624
"6-30",0.031691
"6-30",-0.013155
"6-30",-0.025122
"6-30",0.007757
"6-30",0.052267
"6-30",0.05288
"6-30",0.034215
"6-30",0.033632
"6-30",0.040192
"6-30",0.021947
"6-30",0.024086
"6-30",0.016156
"6-30",0.02921
"6-30",0.000717
"6-30",0.002375
"6-30",-0.009815
"6-30",0.000416
"6-30",-0.008529
"6-30",0.00366
"6-30",0.005042
"6-30",-0.0114
"6-30",0.005421
"6-30",0.019412
"6-30",0.018295
"6-30",0.029943
"6-30",0.04003
"6-30",0.034545
"6-30",0.016084
"6-30",-0.024455
"6-30",-0.013539
"6-30",-0.00955
"6-30",0.011374
"6-30",0.001311
"6-30",0.01445
"6-30",0.024687
"6-30",0.026074
"6-30",0.023089
"6-30",0.030063
"6-30",0.052477
"6-30",0.041766
"6-30",0.037152
"6-30",0.057638
"6-30",0.033217
"6-30",0.008773
"6-30",0.018181
"6-30",0.029571
"6-30",0.036792
"6-30",0.033704
"6-30",0.022073
"6-30",-0.013695
"6-30",-0.032787
"6-30",-0.031754
"6-30",0.005973
"6-30",0.022494
"6-30",0.002549
"6-30",-0.007285
"6-30",-0.011761
"6-30",-0.04443
"6-30",-0.017708
"6-30",0.006574
"6-30",0.003612
"6-30",0.003474
"6-30",-0.009508
"6-30",0.006003
"6-30",0.012948
"6-30",0.023461
"6-30",0.009572
"6-30",0.022236
"6-30",0.029204
"6-30",0.017652
"6-30",0.005685
"6-30",0.015261
"6-30",0.029246
"6-30",0.033608
"6-30",0.039045
"6-30",0.035182
"6-30",0.00509
"6-30",-0.001458
"6-30",0.010347
"6-30",0.007205
"6-30",-0.01879
"6-30",-0.087948
"6-30",-0.08146
"6-30",-0.062639
"6-30",-0.029393
"6-30",-0.027332
"6-30",0.013687
"6-30",-0.017294
"6-30",-0.024046
"6-30",-0.038573
"6-30",-0.025572
"6-30",-0.015059
"6-30",0.002279
"6-30",0.006334
"6-30",0.015627
"6-30",0.004369
"6-30",0.017592
"6-30",0.02721
"6-30",0.036329
"6-30",0.03672
"6-30",-0.000251
"6-30",-0.011136
"6-30",-0.006673
"6-30",-0.00603
"6-30",-0.013659
"6-30",0.004628
"6-30",0.007025
"6-30",0.001077
"6-30",-0.052576
"6-30",-0.075435
"6-30",-0.020766
"6-30",0.016378
"6-30",0.002062
"6-30",0.03192
"6-30",0.031896
"6-30",0.02861
"6-30",0.016571
"6-30",0.041171
"6-30",0.026465
"6-30",0.023479
"6-30",0.025702
"6-30",0.015826
"6-30",0.008022
"6-30",-0.01763
"6-30",0.012684
"6-30",0.00142
"6-30",0.015988
"6-30",0.015345
"6-30",0.014474
"6-30",0.002675
"6-30",-0.010656
"6-30",-0.03805
"6-30",-0.017336
"6-30",-0.015582
"6-30",-0.055321
