Time,X
"6-30",0.045329
"6-30",0.046452
"6-30",0.052611
"6-30",0.055576
"6-30",0.019918
"6-30",0.005403
"6-30",0.027302
"6-30",0.057383
"6-30",0.05452
"6-30",0.062744
"6-30",0.044921
"6-30",0.042045
"6-30",0.0348
"6-30",0.021917
"6-30",0.033233
"6-30",0.033059
"6-30",0.047052
"6-30",0.034554
"6-30",0.038378
"6-30",0.029865
"6-30",-0.009593
"6-30",-0.003656
"6-30",0.00353
"6-30",0.007702
"6-30",0.024709
"6-30",0.068375
"6-30",0.07077
"6-30",0.015056
"6-30",-0.008705
"6-30",-0.010499
"6-30",-0.056081
"6-30",-0.118663
"6-30",-0.098715
"6-30",-0.018369
"6-30",0.027338
"6-30",0.026449
"6-30",0.023442
"6-30",-0.026149
"6-30",-0.047088
"6-30",-0.042406
"6-30",-0.00757
"6-30",0.003692
"6-30",0.068273
"6-30",0.071635
"6-30",0.034884
"6-30",-0.002533
"6-30",-0.042184
"6-30",-0.048655
"6-30",-0.039104
"6-30",-0.027134
"6-30",-0.001123
"6-30",-0.010662
"6-30",0.0114
"6-30",-0.048031
"6-30",-0.071479
"6-30",-0.0901
"6-30",-0.087675
"6-30",-0.108206
"6-30",-0.13307
"6-30",-0.111765
"6-30",-0.012354
"6-30",0.002587
"6-30",-0.003848
"6-30",-0.016046
"6-30",-0.054238
"6-30",-0.041463
"6-30",-0.045714
"6-30",-0.006537
"6-30",0.016556
"6-30",0.023478
"6-30",0.034223
"6-30",-0.005415
"6-30",-0.007246
"6-30",-0.031396
"6-30",-0.045125
"6-30",-0.031354
"6-30",0.008002
"6-30",0.022692
"6-30",0.060007
"6-30",0.043276
"6-30",-0.008122
"6-30",-0.070806
"6-30",-0.059569
"6-30",-0.067721
"6-30",-0.097226
"6-30",-0.09285
"6-30",-0.069654
"6-30",-0.033887
"6-30",-0.042454
"6-30",-0.078802
"6-30",-0.091523
"6-30",-0.093024
"6-30",-0.09662
"6-30",-0.063903
"6-30",-0.070122
"6-30",-0.054382
"6-30",-0.018604
"6-30",-0.025033
"6-30",-0.014449
"6-30",-0.009335
"6-30",-0.018934
"6-30",-0.018147
"6-30",-0.012823
"6-30",-0.034776
"6-30",-0.024277
"6-30",-0.006892
"6-30",0.013477
"6-30",-0.014317
"6-30",-0.026276
"6-30",-0.037946
"6-30",-0.03013
"6-30",-0.042052
"6-30",-0.054844
"6-30",-0.026444
"6-30",0.004034
"6-30",-0.027578
"6-30",-0.00299
"6-30",-0.007156
"6-30",-0.001927
"6-30",0.014798
"6-30",0.010181
"6-30",0.004448
"6-30",-0.026996
"6-30",-0.01517
"6-30",-0.01598
"6-30",-0.023352
"6-30",-0.005721
"6-30",-0.020771
"6-30",-0.044363
"6-30",-0.032165
"6-30",-0.014804
"6-30",-0.020086
"6-30",-0.002443
"6-30",-0.030292
"6-30",-0.028149
"6-30",-0.032147
"6-30",-0.016671
"6-30",-0.06254
"6-30",-0.088251
"6-30",-0.09354
"6-30",-0.069912
"6-30",-0.041667
"6-30",-0.033341
"6-30",-0.028635
"6-30",-0.03414
"6-30",-0.054484
"6-30",-0.044171
"6-30",-0.019624
"6-30",-0.02687
"6-30",-0.003956
"6-30",-0.01203
"6-30",-0.01484
"6-30",0.004958
"6-30",0.001723
"6-30",-0.00703
"6-30",-0.001063
"6-30",-0.008753
"6-30",-0.040503
"6-30",-0.072998
"6-30",-0.0503
"6-30",-0.025579
"6-30",-0.029691
"6-30",-0.034884
"6-30",-0.049375
"6-30",-0.098835
"6-30",-0.153187
"6-30",-0.126791
"6-30",-0.032561
"6-30",-0.032297
"6-30",-0.011364
"6-30",0.022295
"6-30",0.006585
"6-30",0.001465
"6-30",0.010499
"6-30",0.019582
"6-30",0.012426
"6-30",-0.022241
"6-30",0.004466
"6-30",0.009041
"6-30",0.015878
"6-30",0.053613
"6-30",0.040737
"6-30",0.002251
"6-30",-0.009371
"6-30",-0.035658
"6-30",0.001369
"6-30",-0.053295
"6-30",-0.05757
"6-30",-0.005379
"6-30",0.001116
"6-30",-0.01203
"6-30",-0.057191
"6-30",-0.08546
"6-30",-0.076065
"6-30",-0.067078
"6-30",-0.084265
"6-30",-0.076749
"6-30",-0.078154
"6-30",-0.049195
"6-30",-0.052623
"6-30",-0.038012
"6-30",-0.007282
"6-30",-0.008218
"6-30",0.009359
"6-30",-0.00805
"6-30",-6.61E-05
"6-30",0.03564
"6-30",0.051212
"6-30",0.048511
"6-30",0.061525
"6-30",0.028545
"6-30",0.00458
"6-30",0.004664
"6-30",0.021797
"6-30",0.044591
"6-30",0.049189
"6-30",0.049699
"6-30",0.014305
"6-30",0.003866
"6-30",-0.014095
"6-30",0.011916
"6-30",0.038522
"6-30",0.033299
"6-30",0.037963
"6-30",0.053319
"6-30",0.053673
"6-30",0.058308
"6-30",0.053968
"6-30",0.040635
"6-30",0.011004
"6-30",-0.002407
"6-30",0.037795
"6-30",0.045767
"6-30",0.076503
"6-30",0.105384
"6-30",0.056789
"6-30",0.027248
"6-30",0.012907
"6-30",0.016304
"6-30",0.03519
"6-30",0.029715
"6-30",0.087903
"6-30",0.099513
"6-30",0.079541
"6-30",-0.00383
"6-30",-0.037717
"6-30",-0.021341
"6-30",-0.003062
"6-30",0.019294
"6-30",0.052575
"6-30",0.046344
"6-30",0.06646
"6-30",0.067901
"6-30",0.062738
"6-30",0.066004
"6-30",0.070836
"6-30",0.079475
"6-30",0.064131
"6-30",0.053151
"6-30",0.082164
"6-30",0.073802
"6-30",0.062072
"6-30",0.053685
"6-30",0.041961
"6-30",0.023898
"6-30",0.003308
"6-30",-0.010932
"6-30",0.029805
"6-30",0.020362
"6-30",0.035658
"6-30",0.010151
"6-30",-0.071785
"6-30",-0.053211
"6-30",-0.007486
"6-30",0.039068
"6-30",0.076131
"6-30",0.08513
"6-30",0.094452
"6-30",0.078274
"6-30",0.054424
"6-30",0.049399
"6-30",0.05778
"6-30",0.091769
"6-30",0.076329
"6-30",0.0866
"6-30",0.091151
"6-30",0.07379
"6-30",0.065728
"6-30",0.085622
"6-30",0.087831
"6-30",0.075525
"6-30",0.063723
"6-30",0.099405
"6-30",0.040485
"6-30",-0.010902
"6-30",0.053277
"6-30",0.051164
"6-30",-0.007636
"6-30",-0.067385
"6-30",-0.063381
"6-30",-0.024595
"6-30",-0.009131
"6-30",-0.005487
"6-30",0.014563
"6-30",0.001909
"6-30",0.006963
"6-30",-0.016533
"6-30",-0.045203
"6-30",-0.016755
"6-30",0.048415
"6-30",0.057726
"6-30",0.061279
"6-30",0.044915
"6-30",0.053613
"6-30",0.050492
"6-30",0.037357
"6-30",0.050624
"6-30",0.054244
"6-30",0.04692
"6-30",0.048025
"6-30",0.036126
"6-30",0.045371
"6-30",0.052743
"6-30",0.071106
"6-30",0.033755
"6-30",0.011502
"6-30",0.027956
"6-30",0.057569
"6-30",0.060313
"6-30",0.058038
"6-30",0.04776
"6-30",0.035478
"6-30",0.027524
"6-30",0.014173
"6-30",0.037999
"6-30",0.043036
"6-30",0.057461
"6-30",0.036337
"6-30",0.034848
"6-30",0.022716
"6-30",-0.009905
"6-30",0.002605
"6-30",0.001195
"6-30",0.011628
"6-30",0.027668
"6-30",0.062324
"6-30",0.072595
"6-30",0.010193
"6-30",-0.012234
"6-30",-0.011496
"6-30",-0.041181
"6-30",-0.108314
"6-30",-0.100594
"6-30",-0.036055
"6-30",0.014017
"6-30",0.000804
"6-30",0.008957
"6-30",-0.030622
"6-30",-0.037243
"6-30",-0.026822
"6-30",-0.009065
"6-30",-0.000979
"6-30",0.046878
"6-30",0.049501
"6-30",0.040155
"6-30",0.02005
"6-30",0.001585
"6-30",-0.012348
"6-30",-0.023376
"6-30",-0.039242
"6-30",-0.025387
"6-30",-0.029787
"6-30",-0.005697
"6-30",-0.029025
"6-30",-0.036283
"6-30",-0.043342
"6-30",-0.050546
"6-30",-0.081966
"6-30",-0.166664
"6-30",-0.166525
"6-30",-0.054586
"6-30",-0.024295
"6-30",0.00476
"6-30",0.028142
"6-30",-0.009557
"6-30",-0.032063
"6-30",-0.063693
"6-30",-0.043102
"6-30",-0.029187
"6-30",0.006105
"6-30",0.035772
"6-30",0.013267
"6-30",0.021797
"6-30",-0.012198
"6-30",-0.041553
"6-30",-0.046614
"6-30",-0.028431
"6-30",-0.009323
"6-30",0.033383
"6-30",0.043294
"6-30",0.01505
"6-30",-0.039614
"6-30",-0.041992
"6-30",-0.057726
"6-30",-0.113446
"6-30",-0.129288
"6-30",-0.098222
"6-30",-0.029877
"6-30",-0.00676
"6-30",-0.034698
"6-30",-0.050246
"6-30",-0.07834
"6-30",-0.105522
"6-30",-0.069468
"6-30",-0.084157
"6-30",-0.053193
"6-30",-0.000348
